algorithm,mode,path,total_distance,total_cost,dangerous_edge_count,danger_types,rescue_assessment
Dijkstra,distance,START -> O974516630 -> O942362873 -> O9801013418 -> O937644146 -> O12767910355 -> O9066442415 -> O9176635521 -> O6959725348 -> O10198894133 -> O943362689 -> O8000890893 -> O371156933 -> O9176580584 -> O245133700 -> O9176512383 -> O992548499 -> O992562845 -> O975566047 -> O937461945 -> O10893634989 -> O245130060 -> O1363454894 -> O1363454890 -> O245130062 -> O2354050156 -> O9176635465 -> O245130065 -> O12147805826 -> O975801493 -> O11201693861 -> O975801331 -> O9323184985 -> O10702250175 -> O1360099096 -> O1360099087 -> O10702250174 -> O10702250183 -> O1365191890 -> O1360097790 -> O586470762 -> O1360099079 -> O1365191860 -> O9285406275 -> O10695281141 -> O312151779 -> O9980842162 -> O1360097788 -> O10161186377 -> O10695605919 -> O1360087326 -> O380424589 -> O10695605922 -> O10695609925 -> O9641470758 -> O8093518645 -> O8093518636 -> O8093518650 -> O9285406282 -> O380424595 -> O1367406318 -> O9911317522 -> O1356404969 -> O8093518722 -> O8093518723 -> O9911317520 -> O1356404971 -> O9997500191 -> O10080985620 -> O9911253509 -> O1356404973 -> O1356404975 -> O528894102 -> O1350327485 -> O1747588149 -> O1747588150 -> O9911317517 -> O1343383544 -> O1790399330 -> O7110874217 -> O9908830579 -> O297113825 -> O1790399377 -> O9908830582 -> O1356404979 -> O1356404986 -> O1190858770 -> O1733378083 -> O1733378088 -> O1733378097 -> O1733378101 -> O1733378119 -> O1790399372 -> O528820598 -> O1733378124 -> O1733378157 -> O1733378173 -> O1733378176 -> O1733378179 -> O1733378186 -> O1733378208 -> O1733378218 -> O1733378246 -> O1733378260 -> O1733378268 -> O1733378263 -> O1733378255 -> O1733378243 -> O1733378221 -> O1733378216 -> O1733378214 -> O1718852261 -> O10784658085 -> O1718852262 -> O10648844146 -> O13385609222 -> O1718852263 -> O261615234 -> O746441976 -> O1718852264 -> O13385609228 -> O10302571147 -> O10302571146 -> O10302571141 -> O11337325046 -> O11337325050 -> O10302571140 -> O10302571143 -> O10302571142 -> O30993511 -> O289555603 -> O1807875251 -> O8049125717 -> O1807875241 -> O8049125716 -> O11692379227 -> O1807875226 -> O11692379226 -> O1807875213 -> O1807875212 -> O1977788570 -> O1807875214 -> O9676351690 -> O9676351692 -> O11773683996 -> O1807875217 -> O1892821731 -> O1892821736 -> O11773604162 -> O11773604155 -> O11773604157 -> O11773541535 -> O8857079697 -> O528839557 -> O391663322 -> O1892821740 -> O391663323 -> O391663325 -> O1807875210 -> O391663327 -> O10271410794 -> O13095866172 -> O391663758 -> O1807828234 -> O391663759 -> O1807828233 -> O1807828235 -> O391663760 -> O391663761 -> O391663762 -> O1807828087 -> O391664399 -> O1807828047 -> O391664699 -> O391664756 -> O13095866173 -> O13095866174 -> O332612777 -> O10793129232 -> O10793129233 -> O332612776 -> O332612530 -> O11984832753 -> O11365644647 -> O13095866177 -> O10111374067 -> O11297904628 -> O13095866178 -> O12522247692 -> O12522247711 -> O1807791899 -> O11365690181 -> O1807791874 -> O1807791872 -> O1807791870 -> O12960822422 -> O12960819892 -> O2306938999 -> O10683307915 -> O10683307911 -> O10683307912 -> O10683307913 -> O12960822429 -> O1807791862 -> O2293148378 -> O13095866179 -> O1870683133 -> O13095866182 -> O1817905685 -> O13095866185 -> O1736610761 -> O1736610756 -> O13095866199 -> O321763569 -> O1351052202 -> O7419602618 -> O7419602623 -> O7419602615 -> O7419602614 -> O7419602621 -> O7419602619 -> O1351023855 -> O1351023808 -> O1351023771 -> O1351023745 -> O1351023710 -> O1351023663 -> O1351023660 -> O1351023659 -> O1351023661 -> O1351023664 -> O12698722311 -> O12698722314 -> O253184671 -> O1351023641 -> O253184682 -> O253184683 -> O1351023578 -> O5908910500 -> O256875100 -> O1305972664 -> O1804605946 -> O11107178156 -> O1918810139 -> O401364128 -> O1804606002 -> O13095866200 -> O13095877301 -> O1804606098 -> O1804605967 -> O1804605965 -> O13095877306 -> O13095877307 -> O1804605978 -> O1351023520 -> O1351023517 -> O256875104 -> O256875105 -> O1351023448 -> O256875106 -> O256875107 -> O1807791839 -> O1918810112 -> O9530019199 -> O9530019203 -> O9530019207 -> O9530019206 -> O1918810113 -> O1807791837 -> O1807791835 -> O260726399 -> O2304301958 -> O1807791831 -> O1807791894 -> O6778539637 -> O6778539632 -> O260726396 -> O12387919505 -> O76457133 -> O12894180789 -> O11795004032 -> O2304293427 -> O11795004033 -> O13665961100 -> O5803959667 -> O76457145 -> O2304288850 -> O2304288866 -> O256837195 -> O6778539635 -> O5852539225 -> O8101041228 -> O12430827658 -> O12430827657 -> O12430827656 -> O12430827655 -> O76457139 -> O1807791817 -> O11777818441 -> O1807791807 -> O1807791804 -> O8859097757 -> O8859097758 -> O8859097796 -> O8954180850 -> O8859097771 -> O8954180820 -> O8859097773 -> O8859097775 -> O9879060396 -> O9879060397 -> O9879060393 -> TARGET,19.905,19.905,86,"congestion, flood",距离较短，但经过危险路段，不宜直接作为灾害救援首选路线。
Dijkstra,safe,START -> O974516630 -> O942362873 -> O9801013418 -> O937644146 -> O12767910355 -> O9066442415 -> O9176635521 -> O6959725348 -> O10198894133 -> O943362689 -> O8000890893 -> O371156933 -> O9176580584 -> O245133700 -> O9176512383 -> O992548499 -> O992562845 -> O975566047 -> O937461945 -> O10893634989 -> O245130060 -> O1363454894 -> O1363454890 -> O245130062 -> O2354050156 -> O9176635465 -> O245130065 -> O12147805826 -> O975801493 -> O11201693861 -> O975801331 -> O11251330791 -> O1360099098 -> O11251330789 -> O9950902567 -> O1360099085 -> O11251330788 -> O11251330787 -> O11251330790 -> O1365191893 -> O1360099083 -> O1360099079 -> O1365191860 -> O9285406275 -> O10695281141 -> O312151779 -> O9980842162 -> O1360097788 -> O10161186377 -> O10695605919 -> O1360087326 -> O380424589 -> O1360087323 -> O9285406278 -> O10695605920 -> O13097626170 -> O13097626171 -> O11055783107 -> O11055694604 -> O1364094926 -> O1364094925 -> O11055783111 -> O11054562314 -> O11054562312 -> O11054548940 -> O11054548993 -> O11055783120 -> O11054548959 -> O1364094922 -> O13387832466 -> O1364094919 -> O1367406290 -> O11054548966 -> O1367406291 -> O1364094921 -> O245132302 -> O9911317528 -> O239432553 -> O1252057501 -> O1367459551 -> O10573499234 -> O10573499237 -> O1811066560 -> O3702176241 -> O10573595056 -> O1811066559 -> O1195735433 -> O11836573372 -> O11192613144 -> O11055738295 -> O11055738296 -> O1367469200 -> O10573499689 -> O239434094 -> O239433355 -> O11054828063 -> O299230336 -> O1364164062 -> O6924324457 -> O299230334 -> O299230332 -> O6924342191 -> O1364434283 -> O1364084983 -> O1364094878 -> O1364164043 -> O1367470172 -> O1364164055 -> O1364164049 -> O1367470169 -> O1364164047 -> O1364078559 -> O233297997 -> O1367470166 -> O10220920714 -> O235940949 -> O1762839574 -> O233297531 -> O1350996073 -> O1584067990 -> O1350996071 -> O1350996070 -> O1350996069 -> O12466843437 -> O1350996068 -> O1350996067 -> O1350996064 -> O1584067986 -> O1499694440 -> O1816255844 -> O9811071158 -> O1584067985 -> O9814884786 -> O1350996035 -> O12430955722 -> O9999311822 -> O1350996029 -> O1816089479 -> O1226548288 -> O1816089469 -> O12430955707 -> O1226548267 -> O515368320 -> O1816089484 -> O1359329096 -> O8829328856 -> O528873934 -> O1702619088 -> O1359330150 -> O1806090820 -> O1748322318 -> O1806090821 -> O1748322317 -> O6395588989 -> O1829396932 -> O27484736 -> O13882166224 -> O13882166221 -> O13882166222 -> O2299895646 -> O1829396930 -> O10127898633 -> O10127898632 -> O1805218733 -> O5184443631 -> O294114953 -> O10127898636 -> O1765070584 -> O294114971 -> O1359329072 -> O1359329081 -> O1359329101 -> O1359329103 -> O10271404192 -> O529501165 -> O529501162 -> O12837523603 -> O12837523605 -> O12837523608 -> O3894653055 -> O746856371 -> O5969712021 -> O1802866325 -> O12840847255 -> O9087992525 -> O9417522078 -> O1802866326 -> O9417522063 -> O5966883259 -> O12840847258 -> O1802866327 -> O1802866328 -> O1359328979 -> O274845696 -> O1359328981 -> O1359328982 -> O1806085503 -> O528858165 -> O5184443210 -> O528858162 -> O528858544 -> O12698721650 -> O12698749121 -> O528866931 -> O528858622 -> O5969593631 -> O12899407137 -> O528858603 -> O12899400644 -> O13800854210 -> O13800854211 -> O12387444241 -> O12899407150 -> O13800834858 -> O10125859973 -> O4898498287 -> O528858757 -> O1802903202 -> O10125901719 -> O1802903206 -> O1802903208 -> O1802903210 -> O1802903211 -> O1802903214 -> O10125881854 -> O1802903219 -> O12877008040 -> O11816673522 -> O8039757761 -> O1802903221 -> O11789311305 -> O1806072532 -> O2408441833 -> O11816673529 -> O12877008054 -> O11789311314 -> O1806072533 -> O11789311309 -> O1806072530 -> O11789311311 -> O11789311308 -> O1802903226 -> O10125901720 -> O11789311306 -> O1802903227 -> O8032206112 -> O11789311307 -> O8032206111 -> O8032206110 -> O1806072534 -> O8032206134 -> O8032206093 -> O8032206094 -> O8032206095 -> O8032206103 -> O8032206096 -> O8032206101 -> O9162437050 -> O8032206100 -> O8032206088 -> O1806072535 -> O8032206098 -> O8032695389 -> O10125879815 -> O8032695393 -> O1802903234 -> O8034745113 -> O9162437049 -> O8034745130 -> O8034745111 -> O1953257653 -> O10205851156 -> O10205851157 -> O1953257614 -> O11947573865 -> O11947573864 -> O8034745071 -> O244882987 -> O8034745070 -> O10125882770 -> O10125882767 -> O8266984998 -> O8266984997 -> O8266984996 -> O8266984995 -> O8266984994 -> O8266984993 -> O8266984992 -> O8266984991 -> O8266984990 -> O8266984989 -> O8266984988 -> O8266984987 -> O8266984986 -> O8266984985 -> O8266984984 -> O8266984983 -> O8266984982 -> O746966061 -> O244883904 -> O10111374087 -> O1803664742 -> O1803664741 -> O1736505495 -> O9115930006 -> O10111190850 -> O9700805449 -> O1736505493 -> O1736505487 -> O1805915878 -> O1736610696 -> O2095768073 -> O1736610794 -> O1736505403 -> O1736505401 -> O1736610692 -> O1736505397 -> O3701585706 -> O11107477732 -> O1976996117 -> O11107477731 -> O35552324 -> O12702353872 -> O12701842720 -> O12701842740 -> O11107471395 -> O262259870 -> O10201254148 -> O1918630623 -> O10201254151 -> O1918830215 -> O1918830223 -> O1765106527 -> O10683165826 -> O7861665808 -> O8193341533 -> O10683249440 -> O10683249443 -> O9362983879 -> O1918810086 -> O10683249437 -> O10683249434 -> O1765106532 -> O2417346672 -> O9363158836 -> O1765106538 -> O2563618476 -> O10683204821 -> O9529905308 -> O2408377474 -> O2408377491 -> O2407685945 -> O2407685900 -> O1918810101 -> O1918810103 -> O1918810104 -> O1918810107 -> O2408377483 -> O1918810110 -> O12387919513 -> O9530019202 -> O9530019206 -> O1918810113 -> O1807791837 -> O1807791835 -> O260726399 -> O2304301958 -> O1807791831 -> O1807791894 -> O6778539637 -> O6778539632 -> O260726396 -> O12387919505 -> O76457133 -> O12894180789 -> O11795004032 -> O2304293427 -> O11795004033 -> O13665961100 -> O5803959667 -> O76457145 -> O2304288850 -> O2304288866 -> O256837195 -> O6778539635 -> O5852539225 -> O8101041228 -> O12430827658 -> O12430827657 -> O12430827656 -> O12430827655 -> O76457139 -> O1807791817 -> O11777818441 -> O1807791807 -> O1807791804 -> O8859097757 -> O8859097758 -> O8859097796 -> O8954180850 -> O8859097771 -> O8954180820 -> O8859097773 -> O8859097775 -> O9879060396 -> O9879060397 -> O9879060393 -> TARGET,22.764,23.771,1,congestion,综合代价较低，但仍包含部分风险路段，需要现场确认后通行。
