algorithm,mode,path,total_distance,total_cost,dangerous_edge_count,danger_types,rescue_assessment
Dijkstra,distance,N001 -> N052 -> N058 -> N059 -> N015 -> N002,4.829,4.829,2,fire,距离较短，但经过危险路段，不宜直接作为灾害救援首选路线。
Dijkstra,safe,N001 -> N052 -> N058 -> N059 -> N131 -> N130 -> N056 -> N057 -> N002,6.309,14.272,1,fire,综合代价较低，但仍包含部分风险路段，需要现场确认后通行。
